"time";"Wolves";"Sheeps"
0;3;50
1;3;49
2;4;49
3;4;49
4;4;49
5;4;49
6;4;49
7;4;49
8;4;49
9;4;49
10;4;49
11;5;49
12;5;49
13;5;49
14;5;49
15;5;48
16;5;48
17;5;48
18;5;48
19;5;48
20;5;48
21;5;46
22;5;46
23;5;46
24;5;46
25;5;46
26;5;45
27;5;45
28;5;45
29;5;45
30;5;45
31;5;45
32;6;45
33;6;43
34;6;43
35;6;43
36;6;43
37;6;43
38;7;43
39;7;43
40;7;43
41;7;43
42;8;43
43;8;43
44;8;43
45;8;43
46;8;43
47;8;43
48;8;43
49;8;43
50;8;42
51;8;42
52;8;42
53;8;42
54;8;42
55;8;41
56;8;41
57;8;41
58;8;40
59;8;40
60;9;39
61;9;39
62;9;39
63;9;38
64;9;38
65;9;38
66;9;38
67;10;38
68;10;38
69;11;38
70;13;38
71;14;37
72;14;37
73;14;37
74;14;36
75;15;35
76;16;35
77;16;35
78;16;34
79;17;34
80;17;34
81;18;33
82;18;32
83;19;32
84;19;32
85;19;32
86;19;32
87;19;32
88;19;32
89;19;32
90;19;32
91;19;32
92;19;32
93;19;31
94;19;30
95;19;29
96;19;28
97;19;28
98;19;28
99;19;28
100;19;28
101;19;28
102;19;28
103;19;28
104;20;28
105;21;28
106;22;27
107;22;26
108;22;26
109;23;26
110;23;26
111;21;26
112;18;26
113;18;26
114;18;26
115;18;25
116;18;25
117;17;24
118;18;24
119;19;24
120;19;24
121;20;24
122;21;24
123;21;24
124;21;23
125;21;23
126;21;22
127;21;22
128;21;22
129;21;21
130;21;21
131;21;21
132;21;21
133;21;20
134;22;20
135;22;20
136;23;19
137;21;19
138;22;19
139;24;19
140;25;19
141;23;19
142;24;19
143;24;19
144;26;19
145;27;18
146;27;18
147;27;17
148;30;16
149;31;16
150;31;15
151;32;15
152;32;15
153;34;15
154;34;15
155;34;14
156;35;14
157;36;14
158;36;13
159;36;13
160;36;12
161;37;10
162;38;10
163;38;10
164;39;8
165;40;8
166;43;8
167;43;8
168;42;8
169;42;8
170;43;8
171;44;8
172;46;8
173;46;8
174;49;8
175;51;8
176;51;7
177;51;7
178;52;7
179;54;7
180;55;7
181;55;7
182;53;7
183;53;7
184;54;6
185;55;6
186;53;6
187;49;6
188;50;6
189;50;5
190;50;5
191;50;5
192;48;5
193;48;5
194;47;4
195;47;4
196;48;4
197;47;4
198;48;4
199;50;4
200;50;4
201;50;4
202;51;4
203;53;4
204;54;4
205;58;4
206;60;4
207;58;4
208;58;4
209;60;3
210;60;3
211;49;3
212;48;3
213;48;3
214;49;3
215;51;3
216;51;3
217;54;3
218;56;2
219;56;2
220;58;2
221;53;2
222;53;2
223;55;2
224;54;2
225;55;2
226;53;2
227;54;2
228;50;2
229;48;2
230;53;2
231;51;2
232;52;2
233;52;2
234;54;2
235;55;2
236;48;2
237;46;2
238;44;2
239;44;2
240;45;2
241;45;2
242;45;2
243;45;2
244;45;2
245;46;2
246;47;2
247;46;2
248;47;2
249;47;2
250;47;2
